,,,,,,,,,,,,,,,,
name,description,open_time,close_time,entry_price,latitude,longitude,visit_count,provinces,city,subdistrict,street_name,zip_code,categories,facilities,url_image,url_video
Situ Cipondoh,"Situ Cipondoh, sebuah danau buatan yang berada di kota Tangerang, Banten, merupakan salah satu tujuan wisata favorit bagi penduduk setempat maupun pengunjung dari luar kota banten",00:00,23:59,0,-6.196236840267521,106.821810,1200,Banten,Tanggerang,Cipondoh,"Jalan KH Hasyim Ashari di Kecamatan Cipondoh, Kota Tangerang, Banten.",15148,Alam,"Area parkir, area makanan, toilet, wahana permainan, tempat sampah",,
Scientia Square Park,"Scientia Square Park (SQP) adalah ruang terbuka hijau dengan fasilitas modern sebagai pusat aktivitas pelajar, mahasiswa, juga masyarakat umum.",07:00,20:00,45000,-6.256378143688781,106.6171164487599,900,Banten,Tanggerang,kelapa dua,"Jalan Scientia Boulevard, Curug Sangereng, Kelapa Dua, Kabupaten Tangerang.",15334,Alam,"Area parkir, wahana permainan, toilet, tempat ibadah, tempat sampah",,
Pantai Anyer ,"Pantai Anyer adalah wisata pantai tropis yang terletak di pesisir barat Provinsi Banten, Indonesia. Dikenal karena keindahan alamnya yang memesona, Pantai Anyer menawarkan kombinasi sempurna antara pasir putih yang lembut, air laut yang jernih.",00:00,23:59,25.000,-6.086.954.523.108.130,105.88893544043832,32000,Banten,Serang,anyar,"Jl. Raya Karang Bolong, Bandulu, Kec. Anyar, Kabupaten Serang, Banten 42166",42166,Alam,"area parkir, toilet, penginapan, tempat ibadah",,
Pantai Sawarna,"Sawarna adalah desa wisata di Lebak, Banten, terkenal dengan pantai-pantai indah seperti Pantai Tanjung Layar dan Ciantir. Tempat ini menawarkan pemandangan laut memukau, pasir putih bersih, ombak cocok untuk berselancar, serta gua-gua alami seperti Gua Lalay. Cocok bagi pencari keindahan alam dan ketenangan.",00:00,23:59,5.000,-6.984.323.067.542.160,106.3069557563176,1000,Banten,Lebak,bayah,"Jl. Sawarna Km. 12 No.1, Sawarna, Bayah, Lebak, Banten",42393,Alam,"Penginapan, area makanan dan area makanan, Area Parkir, toilet,toko oleh-oleh ",,
Klub Pantai Tanjung Lesung ,"Klub Pantai Tanjung Lesung menawarkan panorama pantai yang memesona dengan pasir putih yang lembut, air laut yang jernih, dan pepohonan hijau yang menjulang",08:00,18:00,200.000,"-6.475.102.094.307.860,00",105.62539974046673,50000,Banten,Pandeglang,panimbang,"Klub Pantai Tanjung Lesung Desa Tanjung Jaya, Kecamatan Panimbang, Kabupaten Pandeglang, Banten, Indonesia",42281,Alam,"area parkir, area makanan, toilet, wahana permainan",,
Danau Telaga Biru,Danau Telaga Biru adalah destinasi yang cocok bagi para pencinta alam dan penggemar petualangan.,06:00,18:00,50.000,"-5.778.157.155.718.060,00",10.564.507.439.096.900,40000,Banten,tangerang,cisoka,"Jalan Cigaru, Cisoka, Tangerang Regency, Banten",15730,Alam,"pusat informasi, tempat sampah,Area parkir, area makanan, Toilet, wahana permainan",,
Gunung Pinang,"Gunung Pinang terletak di Kabupaten Serang, Banten, dan dikenal karena keindahan alamnya serta trek pendakian yang menarik.",08:00,17:00,15000,"-6.058592034614915, ","106,0858984",2000,banten,serang,waringinkurung,"Desa Kramatwatu, Kecamatan Kramatwatu, Kabupaten Serang, Banten",42161,Alam,"Area Parkir, area makanan, Toilet, Pusat Informasi, Penginapan",,
Istana Surosowan,"Istana Surosowan, juga dikenal sebagai Keraton Surosowan, merupakan bekas istana Kesultanan Banten yang dibangun pada abad ke-16",08:00,17:00,5000,"-6.037837712387714, ","106,1529946",100,banten,Serang,kasemen,"Jl. Banten Lama, Kasemen, Kecamatan Kasemen, Kota Serang, Banten, Indonesia",42191,Sejarah,"Pusat Informasi, toilet, tempat sampah",,
Hutan Kayu Putih Kragilan,"Hutan Kayu Putih Kragilan, sering disebut sebagai ""Hutan Pinus Kragilan,"" adalah kawasan hutan yang dipenuhi pohon kayu putih yang tinggi dan lurus.",07:00,18:00,15000,"-6.130698406011188,","106,2747713",1000,Banten,serang,kragilan,"Desa Kragilan, Kecamatan Carenang, Kabupaten Serang, Banten, Indonesia",42192,Alam,"Pusat Informasi, toilet, tempat sampah, area parkir",,
Situ Rawa Arum,Situ Rawa Arum adalah sebuah danau alami yang dikelilingi oleh vegetasi hijau dan pemandangan yang indah.,06:00,18:00,10000,"-5.981218666570578, ",106.00853986272168,2000,Banten,Cilegon,gerogol,"Jalan Raya Serang-Cilegon KM 5, Desa Rawa Arum, Kecamatan Gerogol, Kota Cilegon, Banten, Indonesia",42438,Alam,"Wahana bermain anak, toilet, area parkir, tempat sampah",,
,,,,,,,,,,,,,,,,
Gunung rinjani,"Gunung Rinjani di Pulau Lombok, Indonesia, adalah gunung berapi aktif setinggi 3.726 meter. Terkenal karena keindahan alamnya, termasuk danau kawah Segara Anak, sumber air panas, dan pemandangan spektakuler. Rinjani menawarkan jalur pendakian menantang yang menarik bagi para pendaki dan pecinta alam.",07:00,15:00,2600000,-8.409.432.728.193.710,116.46001630029166,39226,Nusa Tenggara Barat,Lombok timur,Bayan,"Kecamatan Bayan, Kabupaten Lombok Utara, Provinsi Nusa Tenggara Barat, Indonesia.",83354,alam,"penginapan, pusat informasi, toilet umum, tempat sampah",,
Gili Trawangan island,"Gili Trawangan adalah destinasi wisata populer di lepas pantai barat laut Lombok, Indonesia. Sebagai pulau terbesar dari tiga Gili Islands, Gili Trawangan menawarkan pemandangan pantai yang menakjubkan dengan pasir putih dan air laut yang jernih",00:00,23:59,509000,-8.358.163.865.185.750,116.02933914354026,60000,Nusa Tenggara Barat,Lombok Utara,Pemenang,"Kabupaten Lombok Utara, Provinsi Nusa Tenggara Barat, Indonesia.",83352,alam,"pusat informasi, penginapan, toilet, wahana permainan",,
Air terjun sendang gile dan tiu kilep,"Air Terjun Sendang Gile dan Tiu Kelep menawarkan keindahan alam yang menakjubkan dengan air terjun yang mempesona, air yang jernih, serta hamparan hutan yang hijau. ",07:00,17:00,5000,-8.309.400.937.928.670,116.4190378321076,10000,Nusa Tenggara Barat,Lombok Utara,Bayan,"Desa Senaru, Kecamatan Bayan, Kabupaten Lombok Utara, Provinsi Nusa Tenggara Barat",83354,alam,"area parkir, toilet, Pusat Informasi, tempat ibadah",,
Pantai gili meno,"Pantai Gili Meno menawarkan suasana yang tenang dan damai, sangat cocok untuk wisatawan yang mencari ketenangan dan keindahan alam.",00:00,23:59,0,-835.795.962.035.995,116.06130286794907,2000,Nusa Tenggara Barat,Lombok Utara,Pemenang,"Pantai Gili Meno, Desa Gili Indah, Kecamatan Pemenang, Kabupaten Lombok Utara, Nusa Tenggara Barat, Indonesia.",83352,alam,"area, parkir, pusat informasi, penginapan, toilet,toko oleh-oleh",,
Pantai Gili air,"Pantai Gili Air adalah surga tropis yang terletak di pulau Gili Air, salah satu dari tiga pulau kecil yang terletak di sebelah barat laut Lombok, Indonesia.",00:00,23:59,12000,"-8,358218977",116.08342929874848,2000,Nusa Tenggara Barat,Lombok Utara,Pemenang,"Pantai Gili Air, Desa Gili Indah, Kecamatan Pemenang, Kabupaten Lombok Utara, Nusa Tenggara Barat, Indonesia.",83352,alam,"toko oleh-oleh,pusat informasi, penginapan, toilet, area parkir",,
