name,description,open_time,close_time,entry_price,latitude,longitude,visit_count,provinces,city,subdistrict,street_name,zip_code,categories,facilities,url_image,url_image_2,url_video,url_video_2
Situ Cipondoh,"Situ Cipondoh, sebuah danau buatan yang berada di kota Tangerang, Banten, merupakan salah satu tujuan wisata favorit bagi penduduk setempat maupun pengunjung dari luar kota banten",00:00,23:59,0,-6.1960313705678525,106.67501314964689,1200,Banten,Tanggerang,Cipondoh,"Jalan KH Hasyim Ashari di Kecamatan Cipondoh, Kota Tangerang, Banten.",15148,Alam,"Area parkir, area makanan, toilet, wahana permainan, tempat sampah",https://ruangbogor.com/assets/berita/original/41037610404-itu_.jpg,https://asset.kompas.com/crops/w03pOZJEiU8TDPLfWos6zXyRIXA=/0x0:780x390/1200x800/data/photo/2015/02/07/18093853ebb08f9a2d54f0c867630ac81e1de17780x390.jpg,,
Scientia Square Park,"Scientia Square Park (SQP) adalah ruang terbuka hijau dengan fasilitas modern sebagai pusat aktivitas pelajar, mahasiswa, juga masyarakat umum.",07:00,20:00,45000,-6.256914014620136,106.61618703986436,900,Banten,Tanggerang,kelapa dua,"Jalan Scientia Boulevard, Curug Sangereng, Kelapa Dua, Kabupaten Tangerang.",15334,Alam,"Area parkir, wahana permainan, toilet, tempat ibadah, tempat sampah",https://asset.kompas.com/crops/OB4mM7UKwGspE0ERjFnNhTjaLxg=/0x77:2048x1442/750x500/data/photo/2022/08/11/62f4cda62b174.jpeg,https://dolanyok.com/wp-content/uploads/Scientia-Square-Park.jpg,,
Pantai Anyer ,"Pantai Anyer adalah wisata pantai tropis yang terletak di pesisir barat Provinsi Banten, Indonesia. Dikenal karena keindahan alamnya yang memesona, Pantai Anyer menawarkan kombinasi sempurna antara pasir putih yang lembut, air laut yang jernih.",00:00,23:59,25.000,-6.08631403051771,105.88773344636844,32000,Banten,Serang,anyar,"Jl. Raya Karang Bolong, Bandulu, Kec. Anyar, Kabupaten Serang, Banten 42166",42166,Alam,"area parkir, toilet, penginapan, tempat ibadah",https://inspirasi.dwidayatour.co.id/wp-content/uploads/2021/11/Pantai-Pasir-Putih-Sirih.jpg,https://asset-2.tstatic.net/tribunnews/foto/bank/images/para-wisatawan-mulai-memadatai-pantai-di-kawasan-wisata-pantai-anyer.jpg,,
Pantai Sawarna,"Sawarna adalah desa wisata di Lebak, Banten, terkenal dengan pantai-pantai indah seperti Pantai Tanjung Layar dan Ciantir. Tempat ini menawarkan pemandangan laut memukau, pasir putih bersih, ombak cocok untuk berselancar, serta gua-gua alami seperti Gua Lalay. Cocok bagi pencari keindahan alam dan ketenangan.",00:00,23:59,5.000,-6.98321603055483,106.31024203368372,1000,Banten,Lebak,bayah,"Jl. Sawarna Km. 12 No.1, Sawarna, Bayah, Lebak, Banten",42393,Alam,"Penginapan, area makanan dan area makanan, Area Parkir, toilet,toko oleh-oleh ",https://www.hotelmurah.com/ceritawisata/wp-content/uploads/2023/06/Pantai-Sawarna.png,https://assets.promediateknologi.id/crop/90x146:730x946/750x500/webp/photo/2023/03/26/Wisata_Pantai_Sawarna__instagramwidth-800format-webp-2245292776.jpg,,
Klub Pantai Tanjung Lesung ,"Klub Pantai Tanjung Lesung menawarkan panorama pantai yang memesona dengan pasir putih yang lembut, air laut yang jernih, dan pepohonan hijau yang menjulang",08:00,18:00,200.000,-6.51812516127835,105.73503971709705,50000,Banten,Pandeglang,panimbang,"Klub Pantai Tanjung Lesung Desa Tanjung Jaya, Kecamatan Panimbang, Kabupaten Pandeglang, Banten, Indonesia",42281,Alam,"area parkir, area makanan, toilet, wahana permainan",https://img.okezone.com/content/2022/12/09/408/2724257/yuk-nikmati-keindahan-pantai-tanjung-lesung-sambil-makan-barbekiu-dijamin-seru-GEqWCKtVEm.JPG,https://cdn.idntimes.com/content-images/post/20220110/46849297-555180184954973-6129208294142577012-n-e7b59d641d09dc6955aa19433e3e3f58_600x400.jpg,,
Danau Telaga Biru,Danau Telaga Biru adalah destinasi yang cocok bagi para pencinta alam dan penggemar petualangan.,06:00,18:00,50.000,-6.265052522469419,106.46075000174366,40000,Banten,tangerang,cisoka,"Jalan Cigaru, Cisoka, Tangerang Regency, Banten",15730,Alam,"pusat informasi, tempat sampah,Area parkir, area makanan, Toilet, wahana permainan",https://assets.promediateknologi.id/crop/0x0:0x0/750x500/webp/photo/p1/100/2023/09/21/20230921_071129_0000-3252719150.png,https://asset-2.tstatic.net/jambi/foto/bank/images/Air-Danau-Telaga-Biru-di-Desa-Tanjung-Alam-fssfaa-a.jpg,,
Gunung Pinang,"Gunung Pinang terletak di Kabupaten Serang, Banten, dan dikenal karena keindahan alamnya serta trek pendakian yang menarik.",08:00,17:00,15000,-6.059018790847418,106.10632609876463,2000,banten,serang,waringinkurung,"Desa Kramatwatu, Kecamatan Kramatwatu, Kabupaten Serang, Banten",42161,Alam,"Area Parkir, area makanan, Toilet, Pusat Informasi, Penginapan",https://assets.promediateknologi.id/crop/0x0:0x0/750x500/webp/photo/2023/03/28/21-48-02-gunung_pinangwidth-800format-webp-72511048.jpg,"https://dbijapkm3o6fj.cloudfront.net/resources/26723,1004,1,6,4,0,600,450/-4601-/20200727191129/gunung-pinang.jpeg",,
Istana Surosowan,"Istana Surosowan, juga dikenal sebagai Keraton Surosowan, merupakan bekas istana Kesultanan Banten yang dibangun pada abad ke-16",08:00,17:00,5000,-6.0380937759888536,106.15638488666741,100,banten,Serang,kasemen,"Jl. Banten Lama, Kasemen, Kecamatan Kasemen, Kota Serang, Banten, Indonesia",42191,Sejarah,"Pusat Informasi, toilet, tempat sampah",https://www.alisson.id/wp-content/uploads/2022/02/IMG20220131124540.jpg,https://lpmsigma.com/wp-content/uploads/2023/08/Pesona-yang-ada-di-Keraton-Surasowan-1024x576-1.jpg,,
Hutan Kayu Putih Kragilan,"Hutan Kayu Putih Kragilan, sering disebut sebagai ""Hutan Pinus Kragilan,"" adalah kawasan hutan yang dipenuhi pohon kayu putih yang tinggi dan lurus.",07:00,18:00,15000,-6.130325044213514,106.27820449753506,1000,Banten,serang,kragilan,"Desa Kragilan, Kecamatan Carenang, Kabupaten Serang, Banten, Indonesia",42192,Alam,"Pusat Informasi, toilet, tempat sampah, area parkir",https://static.promediateknologi.id/crop/0x0:0x0/750x500/webp/photo/p1/945/2023/11/22/Screenshot_2023_1122_121217-401657676.jpg,https://assets.promediateknologi.id/crop/0x0:0x0/750x500/webp/photo/2022/09/30/1561443709.jpg,,
Situ Rawa Arum,Situ Rawa Arum adalah sebuah danau alami yang dikelilingi oleh vegetasi hijau dan pemandangan yang indah.,06:00,18:00,10000,-5.981218666570578 ,106.00853986272168,2000,Banten,Cilegon,gerogol,"Jalan Raya Serang-Cilegon KM 5, Desa Rawa Arum, Kecamatan Gerogol, Kota Cilegon, Banten, Indonesia",42438,Alam,"Wahana bermain anak, toilet, area parkir, tempat sampah",https://excitingbanten.id/assets/media/destinasi/609_150921110058.jpg,https://image.radarbanten.co.id/epaper/249iiA7mILbYLqdyUR80AlpRaiCgithczeED4Kkq.jpg,,
