name,description,open_time,close_time,entry_price,latitude,longitude,visit_count,provinces,city,subdistrict,street_name,postal_code,categories,facilities,title,url_image_1,url_image_2,url_image_3,url_video_1,url_video_2,url_video_3
Museum Aceh,"Museum Aceh menampilkan berbagai macam koleksi, seperti Jeungki (alat penumbuk padi), Lonceng (bernama Lonceng Cakra Donya), naskah-naskah kuno, benda-benda tradisional, dan lainnya yang dapat memberikan informasi tentang sejarah dan budaya Aceh.",9:00,16:00,5000,5.548605485,95.32095218,51741,Nanggroe Aceh Darussalam,Banda Aceh,Baiturrahman,"Jl. Sultan Mahmudsyah No. 10, Peuniti",23116,Sejarah,"Area Makanan, Area Parkir, Pusat Informasi, Rumah Difabel, Tempat Sampah, Toilet, Toko Oleh-oleh",Jejak Sejarah di Museum Aceh,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b5/Museum_Aceh.JPG/450px-Museum_Aceh.JPG,https://detakusk.com/wp-content/uploads/2022/06/Museum-Aceh.jpg,https://salsawisata.com/wp-content/uploads/2022/02/Lonceng-Cakra-Donya-Aceh.jpg,https://storage.googleapis.com/provinces_url/video_url/nanggroe_aceh_darussalam/museum_aceh1.mp4,https://storage.googleapis.com/provinces_url/video_url/nanggroe_aceh_darussalam/museum_aceh2.mp4,https://storage.googleapis.com/provinces_url/video_url/nanggroe_aceh_darussalam/museum_aceh3.mp4
Museum Tsunami Aceh,"Museum Tsunami Aceh adalah sebuah museum yang didirikan untuk mengenang peristiwa tsunami yang terjadi pada tahun 2004. Museum ini menampilkan berbagai instalasi dan pameran yang menggambarkan dampak dahsyat tsunami, serta kisah-kisah penyintas yang mengharukan. Salah satu fitur utama adalah lorong gelap yang menggambarkan suasana saat tsunami terjadi, disertai suara ombak dan doa. Selain itu, museum ini juga memiliki ruang pameran yang menampilkan foto-foto, artefak, dan informasi edukatif tentang tsunami dan penanggulangan bencana.",9:00,16:00,5000,5.547958502,95.31514718,58695,Nanggroe Aceh Darussalam,Banda Aceh,Baiturrahman,"Jl. Sultan Iskandar Muda No. 3, Sukaramai",23116,Sejarah,"Area Makanan, Area Parkir, Pusat Informasi, Rumah Difabel, Tempat Sampah, Toilet, Toko Oleh-oleh",Dari Kepedihan ke Harapan: Koleksi Museum Tsunami Aceh,https://ebtke.esdm.go.id/images/79021b2b61c5c959c8a46d9f651681a6_p.jpg,https://cdn.bithe.co/files/images/20220830-whatsapp-image-2022-08-28-at-20-52-30.jpeg,https://media-cdn.tripadvisor.com/media/photo-s/06/76/79/09/museum-tsunami.jpg,https://storage.googleapis.com/provinces_url/video_url/nanggroe_aceh_darussalam/museum_tsunami_aceh1.mp4,https://storage.googleapis.com/provinces_url/video_url/nanggroe_aceh_darussalam/museum_tsunami_aceh2.mp4,https://storage.googleapis.com/provinces_url/video_url/nanggroe_aceh_darussalam/museum_tsunami_aceh3.mp4
Pantai Menye Danau Lut Tawar,"Pantai Menye adalah pantai yang menawarkan pemandangan yang indah dengan pasir putih dan air laut yang jernih. Pantai ini dikelilingi oleh pepohonan hijau yang menambah suasana asri dan alami, membuatnya menjadi tempat yang ideal untuk bersantai dan menikmati keindahan alam.",7:00,18:00,5000,4.592378997,96.99665303,41300,Nanggroe Aceh Darussalam,Aceh Tengah,Bintang,"Jl. Takengon - Bintang, Kala Bintang",24582,Alam,"Area Makanan, Area Parkir, Pusat Informasi, Tempat Ibadah, Penginapan, Tempat Sampah, Toilet, Wahana Permainan",Pantai Menye yang Eksotis dengan Pemandangan Menakjubkan,https://images.hive.blog/DQmVLCfgZM3fxqXJ7V9SzM5rbFbvGk5BshpwNhqG914MkLv/Picsart_23-08-16_20-33-08-180.jpg,https://wisato.id/wp-content/uploads/2022/02/Pante-Menye-1-scaled.jpg,https://www.tempatwisata.pro/users_media/3066/Pantai%20Menye1.jpg,https://storage.googleapis.com/provinces_url/video_url/nanggroe_aceh_darussalam/pantai_menye1.mp4,https://storage.googleapis.com/provinces_url/video_url/nanggroe_aceh_darussalam/pantai_menye2.mp4,https://storage.googleapis.com/provinces_url/video_url/nanggroe_aceh_darussalam/pantai_menye3.mp4
Pantai Ulee Lheue,"Pantai Ulee Lheue menawarkan pemandangan alam yang memukau, dengan ombak Samudra Hindia yang menghantam pantai secara perlahan. Keindahan matahari terbenam di pantai ini juga menjadi daya tarik tersendiri bagi pengunjung yang ingin menikmati momen romantis atau sekadar bersantai menikmati keindahan alam. Selain itu, Pantai Ulee Lheue juga menjadi lokasi populer untuk berbagai aktivitas, seperti berenang, berselancar, atau hanya sekadar berjalan-jalan menikmati suasana pantai. Di sekitar pantai, terdapat warung-warung yang menjual makanan dan minuman khas Aceh, sehingga pengunjung dapat menikmati hidangan lezat sambil menikmati pemandangan pantai yang indah.",6:00,18:00,2000,5.562699818,95.28548994,13450,Nanggroe Aceh Darussalam,Banda Aceh,Meuraxa,"Jl. Residen Ibnu Sya'dan, Ulee Lheue",23233,Alam,"Area Makanan, Area Parkir, Tempat Ibadah, Tempat Sampah, Tempat Sampah, Toilet, Wahana Permainan",Keindahan Pantai Ulee Lheue: Surga di Ujung Aceh,https://1.bp.blogspot.com/-fo9qckPkkjU/Xfdz42RI6bI/AAAAAAAAE-Y/ei2SG5y1fZANYp-kt4bB1lSNZ8SO6jClACLcBGAsYHQ/s1600/IMG-20191216-WA0061.jpg,https://assets.promediateknologi.id/crop/0x0:0x0/750x500/webp/photo/2022/11/24/1003892897.jpeg,https://www.kba.one/files/images/20230927-img-20230925-wa0009.jpg,https://storage.googleapis.com/provinces_url/video_url/nanggroe_aceh_darussalam/pantai_ulee_lheue1.mp4,https://storage.googleapis.com/provinces_url/video_url/nanggroe_aceh_darussalam/pantai_ulee_lheue2.mp4,https://storage.googleapis.com/provinces_url/video_url/nanggroe_aceh_darussalam/pantai_ulee_lheue3.mp4
Taman Rusa Aceh Besar,"Taman Rusa Aceh Besar adalah objek wisata populer yang menampilkan berbagai rusa yang hidup di lingkungan alami. Tempat ini dirancang untuk memberikan pengalaman edukatif dan rekreasi bagi pengunjung, terutama keluarga dan anak-anak. Selain melihat dan memberi makan rusa, pengunjung juga dapat menikmati berbagai fasilitas seperti area bermain anak, tempat duduk santai, dan kios makanan. Kebersihan dan pemeliharaan taman ini sangat diperhatikan untuk kenyamanan dan keamanan pengunjung. Setiap harinya, taman ini mampu menarik ribuan pengunjung yang datang untuk menikmati suasana alam dan interaksi dengan rusa.",8:00,18:00,20000,5.451418332,95.36831362,1825000,Nanggroe Aceh Darussalam,Aceh Besar,Sukamakmur,"Jl. Lembah Lambirah, Lamtanjong",23363,Alam,"Area Makanan, Area Parkir, Pusat Informasi, Tempat Ibadah, Tempat Sampah, Toilet, Wahana Permainan",Relaksasi dan Edukasi di Taman Rusa Aceh Besar,https://www.sekilasaceh.co/files/images/20231213-img-20231213-174534.jpg,https://steemitimages.com/640x0/https://cdn.steemitimages.com/DQmZk3bjyUjViBFqEpEJaiGZJDMrevSwVZcQdtUFYWwi4RE/9.jpeg,https://asset-2.tstatic.net/aceh/foto/bank/images/sepasang-harimaubenggala.jpg,https://storage.googleapis.com/provinces_url/video_url/nanggroe_aceh_darussalam/taman_rusa_aceh1.mp4,https://storage.googleapis.com/provinces_url/video_url/nanggroe_aceh_darussalam/taman_rusa_aceh2.mp4,https://storage.googleapis.com/provinces_url/video_url/nanggroe_aceh_darussalam/taman_rusa_aceh3.mp4
Taman Seni dan Budaya Aceh,"Taman Seni dan Budaya Aceh adalah pusat kegiatan seni yang menawarkan fasilitas teater terbuka untuk pentas dan latihan seni. Tempat ini sering mengadakan acara seperti tari Saman, musik tradisional, dan pameran seni lokal. Terbuka untuk umum, taman ini juga menjadi lokasi acara besar seperti Pekan Kebudayaan Aceh yang menarik banyak pengunjung setiap tahunnya.",8:00,18:00,15000,5.544535903,95.3145992,67000,Nanggroe Aceh Darussalam,Banda Aceh,Baiturrahman,"Jl. Teuku Umar, Sukaramai",23116,Seni Budaya,"Area Makanan, Area Parkir, Tempat Ibadah, Tempat Sampah, Toilet",Menyelami Budaya Aceh di Taman Seni dan Budaya,https://1.bp.blogspot.com/-u4nAEYyTMV4/Xfd5k701K9I/AAAAAAAAE-4/S6C2IjZgdPYSboOqbmKU18vsPna8CMzQACLcBGAsYHQ/w1200-h630-p-k-no-nu/IMG-20191216-WA0072.jpg,https://cdn.ajnn.net/files/images/20220803-img-20220803-wa0013.jpg,https://isbiaceh.ac.id/wp-content/uploads/2022/11/WhatsApp-Image-2022-11-02-at-10.41.38-3.jpeg,https://storage.googleapis.com/provinces_url/video_url/nanggroe_aceh_darussalam/taman_senibudaya_aceh1.mp4,https://storage.googleapis.com/provinces_url/video_url/nanggroe_aceh_darussalam/taman_senibudaya_aceh2.mp4,https://storage.googleapis.com/provinces_url/video_url/nanggroe_aceh_darussalam/taman_senibudaya_aceh3.mp4
Museum Negeri Sumatera Utara,"Museum Negeri Sumatera Utara menawarkan pengalaman luar biasa dengan banyak cerita dan benda peninggalan sejarah yang terjaga dengan baik. Pengunjung dapat menikmati koleksi sejarah dan budaya khas Sumatera Utara, termasuk dari suku Batak dan cerita rakyatnya. Pelayanan yang ramah dan kesempatan untuk belajar lebih dalam tentang sejarah yang belum diketahui menjadikan kunjungan ke museum ini sangat berharga.",8:30,16:00,5000,3.587414901,98.70579585,81031,Sumatera Utara,Medan,Medan Kota,"Jl. HM. Joni No. 51, Teladan Bar",20217,Sejarah,"Area Parkir, Pusat Informasi, Rumah Difabel, Tempat Sampah, Toilet, Toko Oleh-oleh",Menelusuri Sejarah di Museum Negeri Sumatera Utara,https://img.inews.co.id/media/1200/files/inews_new/2022/11/02/Museum_Negeri_Sumatera_Utara__atap.jpg,https://asset.kompas.com/crops/oMeaOn6fbV2aVNHQNFdpQSvFoUc=/190x78:778x470/750x500/data/photo/2023/03/11/640b733fce599.png,https://upload.wikimedia.org/wikipedia/commons/2/23/Museum_Negeri_Sumatera_Utara_Medan.jpg,https://storage.googleapis.com/provinces_url/video_url/sumatera_utara/museum_negeri_sumut1.mp4,https://storage.googleapis.com/provinces_url/video_url/sumatera_utara/museum_negeri_sumut2.mp4,https://storage.googleapis.com/provinces_url/video_url/sumatera_utara/museum_negeri_sumut3.mp4
Danau Toba,"Danau Toba adalah danau vulkanik terbesar di dunia dengan luas sekitar 1.707 kilometer persegi dan kedalaman mencapai 450 meter. Terbentuk dari letusan super-vulkanik, danau ini menjadi destinasi wisata utama dengan Pulau Samosir sebagai daya tarik budaya Batak. Meskipun mempesona secara alami dan kaya budaya, Danau Toba juga menghadapi tantangan lingkungan seperti polusi air dan perubahan iklim.",0:00,23:59,10000,2.803224321,98.61263417,850000,Sumatera Utara,Simalungun,Dolok Pardamean,"Jl. Simarjarunjung, Butu Bayu Pane Raja",21163,Alam,"Area Makanan, Area Parkir, Pusat Informasi, Tempat Ibadah, Penginapan, Tempat Sampah, Toilet, Toko Oleh-oleh, Wahana Permainan",Keajaiban Danau Toba: Pesona Alam yang Tak Terlupakan,https://api2.kemenparekraf.go.id/storage/app/resources/PARIWISATA_STORYNOMICS_TOURISM_shutterstock_385096972_franshendrik_Tambunan_d03d3440db.jpg,https://assets.promediateknologi.id/crop/0x0:0x0/750x500/webp/photo/p1/896/2023/08/15/Danau-toba-1446544994.png,https://www.ngopibareng.id/images/imagecache/20180822034754img-20180821-wa0067.jpg,https://storage.googleapis.com/provinces_url/video_url/sumatera_utara/danau_toba1.mp4,https://storage.googleapis.com/provinces_url/video_url/sumatera_utara/danau_toba2.mp4,https://storage.googleapis.com/provinces_url/video_url/sumatera_utara/danau_toba3.mp4
Pantai Pasir Putih Parparean,"Pantai Pasir Putih Parparean adalah pantai yang menawarkan hamparan pasir putih bersih dan air jernih yang cocok untuk berenang. Pantai ini dikelilingi oleh pemandangan alam yang indah, dengan bukit-bukit hijau yang menambah keasrian tempat ini. Pengunjung dapat menikmati kegiatan seperti berjemur, bermain di pantai, atau hanya bersantai menikmati pemandangan.",0:00,23:59,10000,2.432956004,99.14916676,77170,Sumatera Utara,Toba Samosir,Porsea,"Jl. Raja Sipakko Napitupulu, Parparean II",22384,Alam,"Area Makanan, Area Parkir, Tempat Ibadah, Tempat Sampah, Toilet",Menikmati Keindahan Alam di Pantai Pasir Putih Parparean,https://static.promediateknologi.id/crop/0x0:0x0/0x0/webp/photo/indizone/2022/11/03/d5s0n95/danau-toba-ternyata-punya-pantai-pasir-putih-yang-super-bersih-cocok-banget-buat-healing12.jpg,https://tobaria.com/wp-content/uploads/2021/04/IMG_20210415_144408-1024x576.jpg,https://wisata.tobakab.go.id/wp-content/uploads/sites/110/2020/03/Pasir-Putih-Parparean-scaled.jpg,https://storage.googleapis.com/provinces_url/video_url/sumatera_utara/pantai_pasir_putih_parparean1.mp4,https://storage.googleapis.com/provinces_url/video_url/sumatera_utara/pantai_pasir_putih_parparean2.mp4,https://storage.googleapis.com/provinces_url/video_url/sumatera_utara/pantai_pasir_putih_parparean3.mp4
Desa Budaya Lingga,"Desa ini dikenal sebagai destinasi wisata budaya yang cukup populer di Sumatera Utara. Banyak wisatawan yang datang untuk melihat rumah adat Batak Karo yang berusia lebih dari 250 tahun, serta berbagai koleksi budaya yang dipelihara dengan baik berkat bantuan dana internasional dan upaya pemerintah setempat?.",7:00,18:00,5000,3.121414917,98.46833644,17834,Sumatera Utara,Karo,Simpang Empat,"Jl. Tasak Telu, Lingga",22153,Seni Budaya,"Area Makanan, Area Parkir, Tempat Sampah, Toilet, Toko Oleh-oleh",Kehidupan Tradisional di Desa Budaya Lingga,https://pariwisata.karokab.go.id/up/images/files/TujuanWisata/DesaLingga/Lingga_1.JPG,https://pariwisata.karokab.go.id/up/images/files/TujuanWisata/DesaLingga/Lingga_2.JPG,https://pariwisata.karokab.go.id/up/images/files/TujuanWisata/DesaLingga/MuseumLingga_1.JPG,https://storage.googleapis.com/provinces_url/video_url/sumatera_utara/desa_budaya_lingga1.mp4,https://storage.googleapis.com/provinces_url/video_url/sumatera_utara/desa_budaya_lingga2.mp4,https://storage.googleapis.com/provinces_url/video_url/sumatera_utara/desa_budaya_lingga3.mp4
