name,description,open_time,close_time,entry_price,latitude,longitude,visit_count,provinces,city,subdistrict,street_name,postal_code,categories,facilities,title,url_image_1,url_image_2,url_image_3,url_video_1,url_video_2,url_video_3
Situ Cipondoh,"Situ Cipondoh, sebuah danau buatan yang berada di kota Tangerang, Banten, merupakan salah satu tujuan wisata favorit bagi penduduk setempat maupun pengunjung dari luar kota banten",00:00,23:59,0,-6.1960313705678525,106.67501314964689,1200,Banten,Tanggerang,Cipondoh,Jl. KH Hasyim Ashari,15148,Alam,"Area Parkir, Area Makanan, Toilet,Wahana Permainan, Tempat Sampah",Suasana disekeliling hamparan situ cipondoh yang indah,https://ruangbogor.com/assets/berita/original/41037610404-itu_.jpg,https://asset.kompas.com/crops/w03pOZJEiU8TDPLfWos6zXyRIXA=/0x0:780x390/1200x800/data/photo/2015/02/07/18093853ebb08f9a2d54f0c867630ac81e1de17780x390.jpg,https://assets.promediateknologi.id/crop/0x0:0x0/750x500/webp/photo/2023/02/16/687153865.jpg,https://storage.googleapis.com/provinces_url/video_url/Banten/Situ%20Cipondoh1.mp4,https://storage.googleapis.com/provinces_url/video_url/Banten/Situ%20Cipondoh2.mp4,https://storage.googleapis.com/provinces_url/video_url/Banten/Situ%20Cipondoh3.mp4
Masjid Agung Banten,"Masjid Agung Banten merupakan salah satu peninggalan dari kesultanan Banten yang masih berdiri kokoh hingga saat ini. Masjid ini terletak di Desa Banten Lama, Kecamatan Kasemen, Kota Serang yang dapat diakses sekitar setengah jam dengan kendaraan bermotor dari terminal Pakupatan, Serang.",00:00,23:59,0,-6.0358475556241595,106.15462974356778,16258,Banten,Serang,Kasemen,Jl. Komp. Masjid Agung Banten,42191,Seni dan Budaya,"Area Parkir, Toilet, Tempat Sampah",Menelusuri wisata budaya masjid agung serang,https://asset.kompas.com/crops/oxqjVX-2FtQdyHVBQMdVKGr1dbU=/8x13:980x662/750x500/data/photo/2022/07/26/62dfdc0f2508a.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/6/69/Masjid_agung_banten_lama.jpg/1200px-Masjid_agung_banten_lama.jpg,https://salsawisata.com/wp-content/uploads/2022/12/menara-Masjid-Agung-Banten.jpg,https://storage.googleapis.com/provinces_url/video_url/Banten/Masjid%20Agung%20Banten1.mp4,https://storage.googleapis.com/provinces_url/video_url/Banten/Masjid%20Agung%20Banten2.mp4,https://storage.googleapis.com/provinces_url/video_url/Banten/Masjid%20Agung%20Banten3.mp4
Pantai Anyer ,"Pantai Anyer adalah wisata pantai tropis yang terletak di pesisir barat Provinsi Banten, Indonesia. Dikenal karena keindahan alamnya yang memesona, Pantai Anyer menawarkan kombinasi sempurna antara pasir putih yang lembut, air laut yang jernih.",00:00,23:59,25000,-6.0866131358291575,105.8879913027824,32000,Banten,Serang,Anyar,Jl. Raya Karang Bolong,42166,Alam,"Area Parkir, Toilet, Penginapan, Tempat Ibadah",Anyer: Surga Tersembunyi di Ujung Barat Jawa,https://inspirasi.dwidayatour.co.id/wp-content/uploads/2021/11/Pantai-Pasir-Putih-Sirih.jpg,https://asset-2.tstatic.net/tribunnews/foto/bank/images/para-wisatawan-mulai-memadatai-pantai-di-kawasan-wisata-pantai-anyer.jpg,https://static.promediateknologi.id/crop/0x0:0x0/750x500/webp/photo/p1/945/2023/11/03/Screenshot_2023_1103_212946-2909976863.jpg,https://storage.googleapis.com/provinces_url/video_url/Banten/Pantai%20Anyer%201.mp4,https://storage.googleapis.com/provinces_url/video_url/Banten/Pantai%20Anyer%202.mp4,https://storage.googleapis.com/provinces_url/video_url/Banten/Pantai%20Anyer%203.mp4
Pantai Sawarna,"Sawarna adalah desa wisata di Lebak, Banten, terkenal dengan pantai-pantai indah seperti Pantai Tanjung Layar dan Ciantir. Tempat ini menawarkan pemandangan laut memukau, pasir putih bersih, ombak cocok untuk berselancar, serta gua-gua alami seperti Gua Lalay. Cocok bagi pencari keindahan alam dan ketenangan.",00:00,23:59,10000,-6.98321603055483,106.31024203368372,1000,Banten,Lebak,Bayah,Jl. Sawarna Km. 12 No.1,42393,Alam,"Penginapan, Area Makanan, Area Parkir, Toilet, Toko Oleh-oleh ",Liburan Seru di Pantai Sawarna yang Menakjubkan,https://www.hotelmurah.com/ceritawisata/wp-content/uploads/2023/06/Pantai-Sawarna.png,https://assets.promediateknologi.id/crop/90x146:730x946/750x500/webp/photo/2023/03/26/Wisata_Pantai_Sawarna__instagramwidth-800format-webp-2245292776.jpg,https://mediabogor.co/wp-content/uploads/2024/03/IMG-20240311-WA0050.jpg,https://storage.googleapis.com/provinces_url/video_url/Banten/Pantai%20Sawarna1.mp4,https://storage.googleapis.com/provinces_url/video_url/Banten/Pantai%20Sawarna2.mp4,https://storage.googleapis.com/provinces_url/video_url/Banten/Pantai%20Sawarna3.mp4
Benteng Speelwijk,"Benteng Speelwijk merupakan situs bersejarah semasa penjajahan Belanda yang terletak di Serang, Banten. Benteng ini telah berdiri sejak tahun 1684. Mulanya, benteng ini dibangun oleh penjajah Belanda untuk tempat berlindung dan mengintai musuh. Saat ini, kawasan bentang beralih fungsi sebagai destinasi wisata bersejarah.",00:00,23:59,0,-6.031092362420871,106.15109999571584,2137,Banten,Serang,Kasemen,Jl. Kampung Pamarican,42191,Sejarah,"Pusat Informasi, Toilet, Area Parkir, Tempat Sampah",Menelusuri sisa jejak peninggalan penjajahan belanda di Serang,https://static.promediateknologi.id/crop/0x0:0x0/750x500/webp/photo/p1/945/2023/11/07/Screenshot_2023_1107_080313-3393512334.jpg,https://i.pinimg.com/736x/6a/02/4e/6a024e3aaaf9fa69fe2e5a7898de8783.jpg,https://assets.pikiran-rakyat.com/crop/0x0:0x0/1200x675/photo/2024/04/14/37728047.png,https://storage.googleapis.com/provinces_url/video_url/Banten/Benteng%20Speelwijk1.mp4,https://storage.googleapis.com/provinces_url/video_url/Banten/Benteng%20Speelwijk2.mp4,https://storage.googleapis.com/provinces_url/video_url/Banten/Benteng%20Speelwijk3.mp4
Istana Keraton Kaibon,Kota Serang dulunya masuk sebagai wilayah Kerajaan Banten sehingga memiliki banyak situs sejarah. Salah satu yang utama yaitu Keraton Surosowan yang berada di sebelah utara Alun-Alun Serang. Tempat tersebut dulunya adalah pusat pemerintahan Kerajaan Banten. Bangunan keraton ini sudah sangat tua karena berdiri pada masa pemerintahan raja pertama. Dengan perkiraan berdiri sejak tahun 1526-1570 Masehi oleh Sultan Maulana Hasanuddin.,08:00,17:00,0,-6.042847550250124,106.16039696685046,2188,Banten,Serang,Kasemen,Jl. Raya kasunyatan,42191,Sejarah,"Pusat Informasi, Toilet, Area Parkir, Tempat Sampah",Plesir ke sisa-sisa kekuatan kesultanan banten,https://static.promediateknologi.id/crop/0x0:0x0/0x0/webp/photo/indizone/2022/10/10/8Jsaer5/melihat-keraton-kaibon-reruntuhan-sejarah-yang-masih-terlihat-megah-di-banten68.jpg,https://kebudayaan.kemdikbud.go.id/bpnbjabar/wp-content/uploads/sites/16/2018/05/keraton-kaibon.png,https://media.suara.com/pictures/970x544/2022/02/18/98263-sisa-bangunan-keraton-kaibon-dok-pribadiyudi-rahmatullah.jpg,https://storage.googleapis.com/provinces_url/video_url/Banten/Istana%20Keraton%20Kaibon1.mp4,https://storage.googleapis.com/provinces_url/video_url/Banten/Istana%20Keraton%20Kaibon2.mp4,https://storage.googleapis.com/provinces_url/video_url/Banten/Istana%20Keraton%20Kaibon3.mp4
Wisata Suku Baduy luar,"Suku Baduy Luar adalah salah satu komunitas adat di Indonesia yang masih menjaga tradisi dan kearifan lokal mereka. Terletak di pedalaman Kabupaten Lebak, Banten,",05:30,17:00,280000,-6.59540585345841,106.22419186515171,2787,Banten,Lebak,Leuwidamar,Jl. Kadujangkung,42362,Seni dan Budaya,"Pusat Informasi, Toilet, Tempat Sampah","Liburan sunyi di kawasan baduy luar, banten",https://asset.kompas.com/crop/0x42:1000x709/750x500/data/photo/2018/02/18/2320133092.jpg,https://highlandadventure.co.id/wp-content/uploads/jembatan-rawayan-baduy.jpg,https://salsawisata.com/wp-content/uploads/2023/05/Sejarah-Singkat-Kampung-Baduy.jpg,https://storage.googleapis.com/provinces_url/video_url/Banten/Wisata%20Suku%20Baduy%20luar1.mp4,https://storage.googleapis.com/provinces_url/video_url/Banten/Wisata%20Suku%20Baduy%20luar2.mp4,https://storage.googleapis.com/provinces_url/video_url/Banten/Wisata%20Suku%20Baduy%20luar3.mp4
Museum Multatuli,"Multatuli sudah menjadi bagian dari sejarah Lebak. Penghargaan atas namanya, baik versi pemerintah maupun masyarakat Lebak ditasbihkan mulai dari nama jalan, alun-alun, apotik, hingga LSM",08:00,16:00,2000,-6.360343887101795,106.24764807056017,1080,Banten,Lebak,Rangkasbitung,Jl. Alun-alun Timur No.8,42312,Sejarah,"Pusat Informasi, Toilet, Area Parkir",Museum Multatuli: Destinasi Wisata Sejarah dan Budaya yang Wajib Dikunjungi,https://asset.kompas.com/crops/LBXJqZz_4tXAYtddlRcC2GelVzQ=/0x0:0x0/750x500/data/photo/2023/05/26/6470a12fd083c.jpg,https://asset.kompas.com/crops/riDeD_8fg2p63Z4ROjnfUUF7kD8=/0x0:0x0/750x500/data/photo/2023/05/26/6470a10c7f086.jpg,https://c.files.bbci.co.uk/4DA8/production/_94908891_ea6b371f-c9cc-4aec-978e-c69fa40308d9.jpg,https://storage.googleapis.com/provinces_url/video_url/Banten/Museum%20Multatuli1.mp4,https://storage.googleapis.com/provinces_url/video_url/Banten/Museum%20Multatuli2.mp4,https://storage.googleapis.com/provinces_url/video_url/Banten/Museum%20Multatuli3.mp4
Museum Benteng Heritage,Museum Benteng Heritage merupakan hasil restorasi sebuah bangunan berasitektur tradisional Tionghoa yang menurut perkiraan dibangun pada pertengahan abad 17 dan merupakan salah satu bangunan tertua di Kota Tangerang,10:00,17:00,30000,-6.178489569482211,106.63003318036347,1902,Banten,Tanggerang,Tanggerang,Jl. Cilame No.18&20,15118,Seni dan Budaya,"Toilet, Tempat Sampah, Area Parkir",Menyusuri jejak sejarah Tionghoa di Indonesia,https://asset.kompas.com/crops/w359vUOIkLgF4rGvQeefgPNyD5c=/66x0:839x516/750x500/data/photo/2022/01/13/61dffe6ca4a10.png,https://travelspromo.com/wp-content/uploads/2019/11/3-Interior-museum-Bayu-Fitri-e1573012220729.jpg,https://i0.wp.com/distrikbantennews.com/wp-content/uploads/2024/02/40070975_1913610672036462_4903775594493247488_n.jpg,https://storage.googleapis.com/provinces_url/video_url/Banten/Museum%20Benteng%20Heritage1.mp4,https://storage.googleapis.com/provinces_url/video_url/Banten/Museum%20Benteng%20Heritage2.mp4,https://storage.googleapis.com/provinces_url/video_url/Banten/Museum%20Benteng%20Heritage3.mp4
Museum Situs Kepurbakalaan Banten Lama,"Museum ini menyimpan berbagai peninggalan sejarah dari masa kejayaan Kesultanan Banten, seperti masjid, istana, dan benteng.Museum Situs Kepurbakalaan Banten Lama adalah museum terbuka yang memiliki luas sekitar 10.000 meter persegi. Di museum ini, Anda dapat melihat berbagai peninggalan sejarah yang masih berdiri kokoh",09:00,16:00,5000,-6.036110917006005,106.15631982640761,1181,Banten,Serang,Serang,Jl. Raya Serang-Jkt,42191,Sejarah,"Pusat Informasi, Toilet, Area Parkir",Menggali warisan kerajaan Banten,https://asset-2.tstatic.net/banten/foto/bank/images/meriam-ki-amuk-di-museum-situs-kepurbakalaan-banten-lama.jpg,https://media-cdn.tripadvisor.com/media/photo-s/0a/56/97/65/museum-banten-lama-january.jpg,https://kelanaku.com/wp-content/uploads/2018/08/Museum-Situs-Kepurbakalaan-banten-lama-3.jpg,https://storage.googleapis.com/provinces_url/video_url/Banten/Museum%20Situs%20Kepurbakalaan%20Banten%20Lama1.mp4,https://storage.googleapis.com/provinces_url/video_url/Banten/Museum%20Situs%20Kepurbakalaan%20Banten%20Lama2.mp4,https://storage.googleapis.com/provinces_url/video_url/Banten/Museum%20Situs%20Kepurbakalaan%20Banten%20Lama3.mp4
