name,url
Area Makanan,https://storage.googleapis.com/provinces_url/facilities_url/area_makan.png
Area Parkir,https://storage.googleapis.com/provinces_url/facilities_url/area_parkir.png
Pusat Informasi,https://storage.googleapis.com/provinces_url/facilities_url/pusat_informasi.png
Ramah Difabel,https://storage.googleapis.com/provinces_url/facilities_url/ramah_difabel.png
Tempat Ibadah,https://storage.googleapis.com/provinces_url/facilities_url/tempat_ibadah.png
Penginapan,https://storage.googleapis.com/provinces_url/facilities_url/penginapan.png
Tempat Sampah,https://storage.googleapis.com/provinces_url/facilities_url/tempat_sampah.png
Toilet,https://storage.googleapis.com/provinces_url/facilities_url/toilet.png
Toko Oleh-oleh,https://storage.googleapis.com/provinces_url/facilities_url/toko_oleh-oleh.png
Wahana Permainan,https://storage.googleapis.com/provinces_url/facilities_url/wahana_permainan.png
